,date,season_id,season_name,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,match_week,ref_id,ref_name,match_url
68313,2004-10-24,37,2004/2005,217,Barcelona,422,Osasuna,3,0,8,994,Vicente José Lizondo Cortés,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68313.json
68314,2004-12-04,37,2004/2005,217,Barcelona,223,Málaga,4,0,14,993,José Omar Losantos,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68314.json
68315,2004-12-21,37,2004/2005,217,Barcelona,221,Levante,2,1,17,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68315.json
68316,2005-05-01,37,2004/2005,217,Barcelona,608,Albacete,2,0,34,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68316.json
68317,2005-10-01,38,2005/2006,217,Barcelona,395,Real Zaragoza,2,2,6,996,Carlos Megía Dávila,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68317.json
68318,2005-10-22,38,2005/2006,217,Barcelona,422,Osasuna,3,0,8,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68318.json
68319,2005-11-19,38,2005/2006,220,Real Madrid,217,Barcelona,0,3,12,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68319.json
68320,2005-12-04,38,2005/2006,222,Villarreal,217,Barcelona,0,2,14,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68320.json
68321,2005-12-11,38,2005/2006,217,Barcelona,213,Sevilla,2,1,15,1006,Julian Rodriguez Santiago,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68321.json
68322,2005-12-17,38,2005/2006,552,Cádiz,217,Barcelona,1,3,16,1009,Miguel Ayza,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68322.json
68323,2005-12-20,38,2005/2006,217,Barcelona,209,Celta Vigo,2,0,17,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68323.json
68324,2006-01-22,38,2005/2006,217,Barcelona,206,Deportivo Alavés,2,0,20,1004,Turienzo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68324.json
68325,2006-01-29,38,2005/2006,1043,Mallorca,217,Barcelona,0,3,21,996,Carlos Megía Dávila,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68325.json
68326,2006-08-28,39,2006/2007,209,Celta Vigo,217,Barcelona,2,3,1,1001,Miguel Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68326.json
68327,2006-09-09,39,2006/2007,217,Barcelona,422,Osasuna,3,0,2,1006,Julian Rodriguez Santiago,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68327.json
68328,2006-09-24,39,2006/2007,217,Barcelona,207,Valencia,1,1,4,998,Arturo Daudén Ibáñez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68328.json
68329,2006-10-15,39,2006/2007,217,Barcelona,213,Sevilla,3,1,6,997,César Muñiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68329.json
68330,2006-10-22,39,2006/2007,220,Real Madrid,217,Barcelona,2,0,7,1007,Alfonso Perez Burrull,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68330.json
68331,2006-11-12,39,2006/2007,217,Barcelona,395,Real Zaragoza,3,1,10,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68331.json
68332,2007-02-18,39,2006/2007,207,Valencia,217,Barcelona,2,1,23,999,Iturralde,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68332.json
68333,2007-02-25,39,2006/2007,217,Barcelona,215,Athletic Bilbao,3,0,24,994,Vicente José Lizondo Cortés,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68333.json
68334,2007-03-03,39,2006/2007,213,Sevilla,217,Barcelona,2,1,25,1002,Bernardino Gonzalez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68334.json
68335,2007-03-10,39,2006/2007,217,Barcelona,220,Real Madrid,3,3,26,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68335.json
68336,2007-06-17,39,2006/2007,1036,Gimnàstic Tarragona,217,Barcelona,1,5,38,221,Alberto Undiano,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68336.json
68339,2005-11-06,38,2005/2006,216,Getafe,217,Barcelona,1,3,10,998,Arturo Daudén Ibáñez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68339.json
68340,2006-09-17,39,2006/2007,1217,Racing Santander,217,Barcelona,0,3,3,407,Carlos Velasco Carballo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68340.json
68341,2007-03-17,39,2006/2007,1220,Recreativo Huelva,217,Barcelona,0,4,27,1004,Turienzo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68341.json
68342,2006-01-15,38,2005/2006,217,Barcelona,215,Athletic Bilbao,2,1,19,1003,Fernando Teixeira,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68342.json
68347,2006-09-30,39,2006/2007,215,Athletic Bilbao,217,Barcelona,1,3,5,222,David Fernández,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68347.json
68348,2006-01-07,38,2005/2006,214,Espanyol,217,Barcelona,1,2,18,1002,Bernardino Gonzalez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68348.json
68350,2006-02-05,38,2005/2006,217,Barcelona,212,Atlético Madrid,1,3,22,994,Vicente José Lizondo Cortés,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/68350.json
